DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,2006,General Education Students,s,s,s,s,s,s,s
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,2005,General Education Students,49.5%,39%,1.8%,37.200000000000003%,10.6%,37.6%,11.5%
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,2006,General Education Students,48.4%,40.200000000000003%,0.9%,39.299999999999997%,8.199999999999999%,29.2%,18.3%
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2005,General Education Students,67%,63%,20%,43%,4%,23%,9%
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2006,General Education Students,73.599999999999994%,65.099999999999994%,23.6%,41.5%,8.5%,9.4%,15.1%
21K728,LIBERATION DIPLOMA PLUS,2005,General Education Students,37.5%,18.8%,0%,18.8%,18.8%,57.8%,3.1%
21K728,LIBERATION DIPLOMA PLUS,2006,General Education Students,28.3%,11.7%,0%,11.7%,16.7%,58.3%,13.3%
22K405,MIDWOOD HIGH SCHOOL,2005,General Education Students,84%,76.099999999999994%,48.2%,28%,7.9%,12.6%,2.2%
22K405,MIDWOOD HIGH SCHOOL,2006,General Education Students,87.8%,83.1%,57.9%,25.1%,4.7%,10.4%,1.4%
22K425,JAMES MADISON HIGH SCHOOL,2005,General Education Students,68.8%,60.8%,26.6%,34.200000000000003%,7.9%,18.600000000000001%,12%
22K425,JAMES MADISON HIGH SCHOOL,2006,General Education Students,69.099999999999994%,63.3%,24.5%,38.799999999999997%,5.8%,17.8%,12.4%
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2005,General Education Students,56.9%,30.4%,5.5%,24.9%,26.5%,21.8%,19.8%
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2006,General Education Students,63.5%,44.1%,10.7%,33.5%,19.3%,15.2%,19.8%
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2005,General Education Students,85.1%,80.900000000000006%,53.6%,27.3%,4.1%,11.3%,2.6%
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2006,General Education Students,96.7%,96.3%,79.3%,16.899999999999999%,0.4%,1.2%,2.1%
22K555,BROOKLYN COLLEGE ACADEMY,2005,General Education Students,95%,85.1%,15.7%,69.400000000000006%,9.9%,5%,0%
22K555,BROOKLYN COLLEGE ACADEMY,2006,General Education Students,95.8%,90%,20.8%,69.2%,5.8%,4.2%,0%
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2005,General Education Students,72.400000000000006%,44.8%,1.7%,43.1%,27.6%,22.4%,1.7%
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2006,General Education Students,70.2%,49.1%,5.3%,43.9%,21.1%,22.8%,5.3%
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2005,General Education Students,79.099999999999994%,55.8%,15.1%,40.700000000000003%,23.3%,18.600000000000001%,1.2%
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2006,General Education Students,70.900000000000006%,53.2%,10.1%,43%,17.7%,21.5%,6.3%
23K643,BROOKLYN DEMOCRACY ACADEMY,2005,General Education Students,3.8%,3.8%,0%,3.8%,0%,88.7%,7.5%
23K643,BROOKLYN DEMOCRACY ACADEMY,2006,General Education Students,28.1%,12.4%,0%,12.4%,15.7%,59.6%,10.1%
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2005,General Education Students,51.7%,28.7%,1.1%,27.6%,23%,25.3%,20.7%
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2006,General Education Students,63.5%,44.6%,1.4%,43.2%,18.899999999999999%,20.3%,14.9%
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2005,General Education Students,4.3%,4.3%,0%,4.3%,0%,84.8%,8.699999999999999%
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2006,General Education Students,13.8%,6.4%,0%,6.4%,7.3%,53.2%,30.3%
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2005,General Education Students,11.5%,9.6%,0%,9.6%,1.9%,82.7%,3.8%
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2006,General Education Students,25.9%,12.9%,0%,12.9%,12.9%,55.3%,15.3%
23K697,TEACHERS PREPARATORY HIGH SCHOOL,2005,General Education Students,77.599999999999994%,65.400000000000006%,17.8%,47.7%,12.1%,16.8%,3.7%
23K697,TEACHERS PREPARATORY HIGH SCHOOL,2006,General Education Students,85.5%,73.7%,19.7%,53.9%,11.8%,9.199999999999999%,2.6%
24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,2005,General Education Students,85.9%,82.1%,33.299999999999997%,48.7%,3.8%,11.5%,2.6%
24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,2006,General Education Students,91.5%,89%,51.2%,37.799999999999997%,2.4%,6.1%,1.2%
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,2005,General Education Students,78.400000000000006%,52.6%,16.5%,36.1%,25.8%,19.600000000000001%,1%
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,2006,General Education Students,82%,70.8%,14.6%,56.2%,11.2%,14.6%,3.4%
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,2006,General Education Students,s,s,s,s,s,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2005,General Education Students,s,s,s,s,s,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2006,General Education Students,96%,96%,0%,96%,0%,2%,0%
24Q455,NEWTOWN HIGH SCHOOL,2005,General Education Students,53.6%,31.9%,15.7%,16.2%,21.7%,27%,17.600000000000001%
24Q455,NEWTOWN HIGH SCHOOL,2006,General Education Students,50.8%,36.200000000000003%,12.4%,23.8%,14.6%,32.200000000000003%,15.6%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2005,General Education Students,53.7%,27.8%,9.5%,18.3%,25.9%,24.7%,19.399999999999999%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2006,General Education Students,57.8%,39.200000000000003%,10.8%,28.4%,18.7%,24%,15.8%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2005,General Education Students,73.8%,73.8%,0%,73.8%,0%,14.3%,7.1%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2006,General Education Students,73.5%,73.5%,0%,73.5%,0%,19.3%,7.2%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2005,General Education Students,71.599999999999994%,67.400000000000006%,0%,67.400000000000006%,4.2%,21.1%,7.4%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2006,General Education Students,48.4%,48.4%,0%,48.4%,0%,43.5%,8.1%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2005,General Education Students,63.9%,56.8%,16.8%,40%,7.1%,25.8%,8.4%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2006,General Education Students,69.099999999999994%,63%,12.7%,50.3%,6.1%,20.6%,9.1%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2005,General Education Students,70.7%,54.7%,4%,50.7%,16%,20%,6.7%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2006,General Education Students,67.599999999999994%,52.7%,8.1%,44.6%,14.9%,27%,2.7%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2005,General Education Students,73.099999999999994%,55.9%,11.5%,44.5%,17.2%,19.8%,5.3%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2006,General Education Students,75.2%,65.2%,11.3%,53.9%,10%,14.3%,8.699999999999999%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2005,General Education Students,62.3%,56.5%,23.8%,32.700000000000003%,5.8%,35.9%,1.6%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2006,General Education Students,76.2%,75.099999999999994%,45.5%,29.6%,1.2%,22%,1.4%
24Q744,VOYAGES PREPARATORY,2005,General Education Students,4.5%,3%,0%,3%,1.5%,85.1%,10.4%
24Q744,VOYAGES PREPARATORY,2006,General Education Students,12%,7.2%,0%,7.2%,4.8%,71.099999999999994%,12%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2005,General Education Students,58.8%,38.1%,0%,38.1%,20.6%,35.1%,6.2%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006,General Education Students,59.3%,44.2%,0%,44.2%,15.1%,30.2%,10.5%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2005,General Education Students,s,s,s,s,s,s,s
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2006,General Education Students,84.7%,79.2%,27.8%,51.4%,5.6%,13.9%,0%
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2005,General Education Students,s,s,s,s,s,s,s
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2006,General Education Students,90.4%,86.3%,4.1%,82.2%,4.1%,9.6%,0%
25Q425,JOHN BOWNE HIGH SCHOOL,2005,General Education Students,58.2%,40.1%,9.199999999999999%,30.9%,18.100000000000001%,22.5%,16.3%
25Q425,JOHN BOWNE HIGH SCHOOL,2006,General Education Students,60.8%,47.1%,11.1%,36%,13.7%,18.5%,19.7%
25Q460,FLUSHING HIGH SCHOOL,2005,General Education Students,54.3%,46.5%,10.4%,36.1%,7.8%,20.6%,18.399999999999999%
25Q460,FLUSHING HIGH SCHOOL,2006,General Education Students,59.6%,52.5%,9.800000000000001%,42.8%,7%,18.899999999999999%,19.100000000000001%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2005,General Education Students,99.6%,99.6%,99.2%,0.4%,0%,0.4%,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006,General Education Students,100%,100%,97.5%,2.5%,0%,0%,0%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2005,General Education Students,48.2%,30.4%,1.8%,28.6%,17.899999999999999%,3.6%,46.4%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,General Education Students,23.8%,14.6%,1.5%,13.1%,9.199999999999999%,64.599999999999994%,10.8%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2005,General Education Students,84.7%,75.3%,21.2%,54.1%,9.4%,10.6%,3.5%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006,General Education Students,64.599999999999994%,60%,15.4%,44.6%,4.6%,28.5%,2.3%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2005,General Education Students,13.2%,7.7%,0%,7.7%,5.5%,72.5%,6.6%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006,General Education Students,19.3%,12.3%,0%,12.3%,7%,68.400000000000006%,10.5%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2005,General Education Students,80.5%,73.599999999999994%,40.1%,33.5%,6.9%,14%,4.2%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006,General Education Students,82.2%,73.7%,40.9%,32.799999999999997%,8.5%,12.7%,3.8%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2005,General Education Students,81.900000000000006%,69.7%,44.3%,25.3%,12.2%,15.4%,2%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,General Education Students,78.5%,70.400000000000006%,44.5%,26%,8.1%,16.3%,4.1%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2005,General Education Students,70.7%,57.6%,11.8%,45.8%,13.1%,19%,7.1%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,General Education Students,67.599999999999994%,54.7%,6.8%,47.9%,12.8%,22%,8.4%
26Q495,BAYSIDE HIGH SCHOOL,2005,General Education Students,80.599999999999994%,79%,56.1%,22.9%,1.7%,13.1%,4.4%
26Q495,BAYSIDE HIGH SCHOOL,2006,General Education Students,82.7%,81.099999999999994%,53.5%,27.6%,1.7%,10.8%,5.3%
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2005,General Education Students,82.5%,62.3%,14.5%,47.8%,20.2%,14.5%,2.6%
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2006,General Education Students,86.6%,71.099999999999994%,13.8%,57.3%,15.4%,9.9%,2.4%
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2005,General Education Students,76.3%,53.8%,0%,53.8%,22.5%,21.3%,2.5%
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2006,General Education Students,76.5%,62.4%,9.4%,52.9%,14.1%,21.2%,2.4%
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2005,General Education Students,93.8%,84.4%,21.9%,62.5%,9.4%,1.6%,4.7%
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2006,General Education Students,95.5%,86.4%,18.2%,68.2%,9.1%,4.5%,0%
27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,2006,General Education Students,s,s,s,s,s,s,s
27Q400,AUGUST MARTIN HIGH SCHOOL,2005,General Education Students,53%,24.3%,1.3%,23%,28.7%,23.7%,20.8%
27Q400,AUGUST MARTIN HIGH SCHOOL,2006,General Education Students,57.8%,30.1%,4%,26.1%,27.7%,24.9%,15.3%
27Q410,BEACH CHANNEL HIGH SCHOOL,2005,General Education Students,48.4%,40.5%,1.7%,38.700000000000003%,8%,25.1%,18.2%
27Q410,BEACH CHANNEL HIGH SCHOOL,2006,General Education Students,51.9%,35.299999999999997%,2.5%,32.799999999999997%,16.600000000000001%,28.8%,15%
27Q465,FAR ROCKAWAY HIGH SCHOOL,2005,General Education Students,46.1%,14.4%,0.6%,13.9%,31.7%,28.3%,23.9%
27Q465,FAR ROCKAWAY HIGH SCHOOL,2006,General Education Students,47%,18.7%,0%,18.7%,28.4%,19.399999999999999%,32.799999999999997%
27Q475,RICHMOND HILL HIGH SCHOOL,2005,General Education Students,49.5%,28.3%,4.5%,23.8%,21.1%,24.9%,19.100000000000001%
27Q475,RICHMOND HILL HIGH SCHOOL,2006,General Education Students,55.2%,44.8%,7%,37.799999999999997%,10.5%,22.9%,17.899999999999999%
27Q480,JOHN ADAMS HIGH SCHOOL,2005,General Education Students,51.4%,34.6%,4.8%,29.8%,16.8%,28.8%,16.2%
27Q480,JOHN ADAMS HIGH SCHOOL,2006,General Education Students,60%,46.2%,4.9%,41.3%,13.8%,21.8%,16.2%
27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,2006,General Education Students,90.3%,86.1%,16.399999999999999%,69.7%,4.2%,9.1%,0.6%
28Q440,FOREST HILLS HIGH SCHOOL,2005,General Education Students,82.2%,63.7%,30.2%,33.5%,18.5%,11%,5.3%
28Q440,FOREST HILLS HIGH SCHOOL,2006,General Education Students,87.6%,69.7%,23.5%,46.2%,17.899999999999999%,8%,2.4%
28Q470,JAMAICA HIGH SCHOOL,2005,General Education Students,50.4%,38.6%,8.699999999999999%,29.9%,11.8%,28.4%,16.899999999999999%
28Q470,JAMAICA HIGH SCHOOL,2006,General Education Students,52.4%,42.2%,6.2%,36%,10.199999999999999%,27.8%,17.3%
28Q505,HILLCREST HIGH SCHOOL,2005,General Education Students,65%,39.799999999999997%,6.8%,33%,25.2%,20.7%,11.8%
28Q505,HILLCREST HIGH SCHOOL,2006,General Education Students,67.8%,43.6%,8.9%,34.700000000000003%,24.2%,19.5%,11.1%
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2005,General Education Students,90.3%,86.6%,33.1%,53.5%,3.7%,4.7%,3.2%
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2006,General Education Students,88.2%,82.9%,20.399999999999999%,62.4%,5.4%,7.2%,3.8%
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,2005,General Education Students,94.5%,91.8%,70.900000000000006%,20.9%,2.7%,2.7%,1.8%
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,2006,General Education Students,93.2%,92.3%,63.2%,29.1%,0.9%,6%,0%
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,2005,General Education Students,93.5%,93.5%,89.1%,4.3%,0%,5.4%,1.1%
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,2006,General Education Students,95.3%,95.3%,94.4%,0.9%,0%,4.7%,0%
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2005,General Education Students,78.400000000000006%,62.9%,7.2%,55.7%,15.5%,17.5%,2.1%
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2006,General Education Students,78.400000000000006%,57.7%,2.7%,55%,20.7%,16.2%,5.4%
29Q248,QUEENS PREPARATORY ACADEMY,2005,General Education Students,83.3%,77.400000000000006%,8.300000000000001%,69%,6%,14.3%,2.4%
29Q248,QUEENS PREPARATORY ACADEMY,2006,General Education Students,74.400000000000006%,57%,8.1%,48.8%,17.399999999999999%,15.1%,8.1%
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2005,General Education Students,76.900000000000006%,71.2%,0%,71.2%,5.8%,13.5%,9.6%
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2006,General Education Students,81.7%,70%,0%,70%,11.7%,10%,8.300000000000001%
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2005,General Education Students,73.3%,72.2%,6.7%,65.599999999999994%,1.1%,22.2%,3.3%
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2006,General Education Students,67.099999999999994%,57.9%,14.5%,43.4%,9.199999999999999%,31.6%,0%
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2005,General Education Students,68.400000000000006%,60.8%,21.5%,39.200000000000003%,7.6%,29.1%,0%
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2006,General Education Students,80.2%,75.8%,22%,53.8%,4.4%,17.600000000000001%,2.2%
29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2005,General Education Students,s,s,s,s,s,s,s
29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2006,General Education Students,75.8%,36.4%,0%,36.4%,39.4%,9.1%,15.2%
29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,2005,General Education Students,61.1%,44.2%,14.7%,29.5%,16.8%,27.4%,9.5%
29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,2006,General Education Students,67.599999999999994%,54.9%,21.6%,33.299999999999997%,12.7%,21.6%,9.800000000000001%
29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,2005,General Education Students,78.5%,73.099999999999994%,18.3%,54.8%,5.4%,7.5%,7.5%
29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,2006,General Education Students,63.3%,55%,11%,44%,8.300000000000001%,29.4%,5.5%
29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,2005,General Education Students,57.3%,39.299999999999997%,5.6%,33.700000000000003%,18%,33.700000000000003%,6.7%
29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,2006,General Education Students,51.1%,33.299999999999997%,4.4%,28.9%,17.8%,30%,17.8%
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,2005,General Education Students,77.900000000000006%,61.5%,5.8%,55.8%,16.3%,13.5%,3.8%
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,2006,General Education Students,78.8%,70.599999999999994%,5.9%,64.7%,8.199999999999999%,12.9%,4.7%
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2005,General Education Students,56.6%,48.2%,17.899999999999999%,30.4%,8.4%,25.7%,13.4%
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2006,General Education Students,58.4%,50.1%,18.399999999999999%,31.7%,8.4%,25.7%,13.3%
30Q450,LONG ISLAND CITY HIGH SCHOOL,2005,General Education Students,59.6%,55%,15%,40%,4.6%,27.9%,10.9%
30Q450,LONG ISLAND CITY HIGH SCHOOL,2006,General Education Students,63.1%,57.5%,17.8%,39.700000000000003%,5.6%,23.9%,11.2%
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2005,General Education Students,96.9%,89.9%,38.4%,51.6%,6.9%,3.1%,0%
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2006,General Education Students,95.1%,89%,44.8%,44.2%,6.1%,2.5%,1.8%
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2005,General Education Students,58.8%,52.5%,9.800000000000001%,42.6%,6.4%,18.600000000000001%,17.600000000000001%
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2006,General Education Students,67.7%,60.5%,14.8%,45.7%,7.2%,18.399999999999999%,12.1%
30Q555,NEWCOMERS HIGH SCHOOL,2005,General Education Students,60.3%,51.7%,17.7%,34.1%,8.6%,27.6%,8.6%
30Q555,NEWCOMERS HIGH SCHOOL,2006,General Education Students,66.400000000000006%,57.5%,16.8%,40.700000000000003%,8.9%,17.8%,14.5%
30Q575,ACADEMY OF AMERICAN STUDIES,2005,General Education Students,80.900000000000006%,79.099999999999994%,39.1%,40%,1.8%,14.5%,1.8%
30Q575,ACADEMY OF AMERICAN STUDIES,2006,General Education Students,87.7%,83.3%,50.7%,32.6%,4.3%,9.4%,1.4%
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,2005,General Education Students,98.5%,95.4%,35.4%,60%,3.1%,1.5%,0%
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,2006,General Education Students,98.6%,95.8%,51.4%,44.4%,2.8%,0%,1.4%
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,2005,General Education Students,95.2%,86.7%,21.7%,65.099999999999994%,8.4%,4.8%,0%
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,2006,General Education Students,95.7%,88.6%,10%,78.599999999999994%,7.1%,2.9%,1.4%
31R080,THE MICHAEL J. PETRIDES SCHOOL,2005,General Education Students,97.1%,85.6%,41.3%,44.2%,11.5%,1.9%,0%
31R080,THE MICHAEL J. PETRIDES SCHOOL,2006,General Education Students,94.8%,92.8%,52.6%,40.200000000000003%,2.1%,2.1%,1%
31R440,NEW DORP HIGH SCHOOL,2005,General Education Students,71.8%,57.5%,18.2%,39.299999999999997%,14.3%,15.5%,8.9%
31R440,NEW DORP HIGH SCHOOL,2006,General Education Students,78.2%,66.7%,19.7%,47%,11.6%,13%,6.5%
31R445,PORT RICHMOND HIGH SCHOOL,2005,General Education Students,62.7%,47.4%,11.6%,35.799999999999997%,15.3%,19.600000000000001%,7.5%
31R445,PORT RICHMOND HIGH SCHOOL,2006,General Education Students,68.400000000000006%,55.7%,15.6%,40.1%,12.7%,18.899999999999999%,9.199999999999999%
31R450,CURTIS HIGH SCHOOL,2005,General Education Students,73.7%,69%,23.9%,45.2%,4.7%,16.3%,7.8%
31R450,CURTIS HIGH SCHOOL,2006,General Education Students,73.5%,69.900000000000006%,21.8%,48%,3.6%,16.100000000000001%,8.800000000000001%
31R455,TOTTENVILLE HIGH SCHOOL,2005,General Education Students,85.6%,72.8%,34.799999999999997%,38%,12.8%,8.4%,5.5%
31R455,TOTTENVILLE HIGH SCHOOL,2006,General Education Students,85.4%,75.2%,32.299999999999997%,43%,10.199999999999999%,7.6%,6.9%
31R460,SUSAN E. WAGNER HIGH SCHOOL,2005,General Education Students,77.5%,59.6%,22.9%,36.700000000000003%,17.899999999999999%,13.6%,3.6%
31R460,SUSAN E. WAGNER HIGH SCHOOL,2006,General Education Students,83.8%,73.5%,28.2%,45.3%,10.3%,8.4%,5.5%
31R470,CONCORD HIGH SCHOOL,2005,General Education Students,29.8%,14%,0%,14%,15.8%,49.1%,12.3%
31R470,CONCORD HIGH SCHOOL,2006,General Education Students,37.5%,16.7%,0%,16.7%,20.8%,45.8%,16.7%
31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,2005,General Education Students,74%,51.2%,34.1%,17.100000000000001%,22.8%,18.7%,5.7%
31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,2006,General Education Students,66.7%,55.3%,40.9%,14.4%,11.4%,23.5%,6.8%
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,2005,General Education Students,100%,100%,98.6%,1.4%,0%,0%,0%
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,2006,General Education Students,99.7%,99.7%,96.5%,3.1%,0%,0.3%,0%
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2005,General Education Students,s,s,s,s,s,s,s
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2006,General Education Students,67.400000000000006%,48.9%,3.3%,45.7%,18.5%,22.8%,9.800000000000001%
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,2005,General Education Students,63.7%,31.9%,13.3%,18.5%,31.9%,26.7%,7.4%
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,2006,General Education Students,65.7%,34.299999999999997%,4.3%,30%,31.4%,31.4%,2.1%
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2005,General Education Students,66.3%,37.1%,3.4%,33.700000000000003%,29.2%,16.899999999999999%,16.899999999999999%
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2006,General Education Students,84.8%,72.2%,6.3%,65.8%,12.7%,7.6%,6.3%
32K552,ACADEMY OF URBAN PLANNING,2005,General Education Students,63.9%,26.5%,1.2%,25.3%,37.299999999999997%,25.3%,9.6%
32K552,ACADEMY OF URBAN PLANNING,2006,General Education Students,51.6%,41.1%,1.1%,40%,10.5%,35.799999999999997%,10.5%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2005,General Education Students,82.9%,51.2%,9.800000000000001%,41.5%,31.7%,17.100000000000001%,0%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2006,General Education Students,85.4%,56.1%,12.2%,43.9%,29.3%,12.2%,2.4%
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2005,General Education Students,68.099999999999994%,30.8%,1.1%,29.7%,37.4%,23.1%,5.5%
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2006,General Education Students,57.1%,25.5%,4.1%,21.4%,31.6%,22.4%,20.399999999999999%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2005,General Education Students,4.2%,2.5%,0%,2.5%,1.7%,59.7%,33.6%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2006,General Education Students,6.3%,2.7%,0%,2.7%,3.6%,50.5%,40.5%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2005,General Education Students,80.400000000000006%,50%,8.699999999999999%,41.3%,30.4%,19.600000000000001%,0%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2006,General Education Students,83.3%,54.8%,11.9%,42.9%,28.6%,11.9%,4.8%
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2005,General Education Students,67.400000000000006%,27.9%,0%,27.9%,39.5%,22.1%,5.8%
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2006,General Education Students,58.6%,27.6%,5.7%,21.8%,31%,20.7%,14.9%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2005,General Education Students,3.6%,2.2%,0%,2.2%,1.5%,59.1%,35%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2006,General Education Students,7.9%,2.4%,0%,2.4%,5.6%,50%,39.700000000000003%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2005,Asian,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006,Asian,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,Asian,69.6%,47.8%,4.3%,43.5%,21.7%,26.1%,4.3%
